or,de,Time
14+Vaughan+Road+Toronto,BESSARION+STATION,9999
558+Bathurst+Street+Toronto,BESSARION+STATION,11925
126+Pape+Avenue+Toronto,BESSARION+STATION,11234
60+Newcastle+Street+Toronto,BESSARION+STATION,19176
70+Gerrard+St.+E.+Toronto,BESSARION+STATION,10681
3410+Bayview+Avenue+Toronto,BESSARION+STATION,2950
525+Bloor+Street+East+Toronto,BESSARION+STATION,9412
87+Pembroke+St+Toronto,BESSARION+STATION,10594
101+Ontario+Street+Toronto,BESSARION+STATION,11086
2808+Dundas+St+W+Toronto,BESSARION+STATION,13668
723+Queen+Street+West+Toronto,BESSARION+STATION,13101
107+Jarvis+Street+Toronto,BESSARION+STATION,11290
Sherbourne+Street+Toronto,BESSARION+STATION,10379
29+Leslie+Street+Toronto,BESSARION+STATION,11662
2671+Islington+Avenue+Toronto,BESSARION+STATION,13316
502+Spadina+Ave.+Toronto,BESSARION+STATION,11662
191+Spadina+Road+Toronto,BESSARION+STATION,10286
95+Wellesley+St.+E.+Toronto,BESSARION+STATION,10056
23+Grange+Road+Toronto,BESSARION+STATION,11943
875+Queen+St+E+Toronto,BESSARION+STATION,11409
7+Vanauley+Street+Toronto,BESSARION+STATION,12656
21+Walmer+Rd.+Toronto,BESSARION+STATION,10864
80+Woodlawn+Ave.+East+Toronto,BESSARION+STATION,8779
6+Warrendale+Court+Etobicoke,BESSARION+STATION,14406
348+Davenport+Rd.+Toronto,BESSARION+STATION,9962
167+College+Street+Toronto,BESSARION+STATION,11318
702+Kennedy+Road+Scarborough,BESSARION+STATION,9907
265+Queens+Drive+Toronto,BESSARION+STATION,11126
248+Dufferin+Street+Toronto,BESSARION+STATION,14710
177+Caledonia+Rd+Toronto,BESSARION+STATION,11778
747+Warden+Ave+Toronto,BESSARION+STATION,9526
100+Lippincott+Street+Toronto,BLOOR-YONGE+STATION,2084
973+Lansdowne+Avenue+Toronto,BLOOR-YONGE+STATION,4074
43+Christie+Street+Toronto,BLOOR-YONGE+STATION,2223
1229+Ellesmere+Road+Toronto,BLOOR-YONGE+STATION,13129
1651+Sheppard+Ave+West+Toronto,BLOOR-YONGE+STATION,10986
4222+Kingston+Road+Toronto,BLOOR-YONGE+STATION,14297
38+Bathrust+St+Toronto,BLOOR-YONGE+STATION,3449
291+Sherbourne+Street+Toronto,BLOOR-YONGE+STATION,1538
3306+Kingston+Road+Toronto,BLOOR-YONGE+STATION,11450
339+George+Street+Toronto,BLOOR-YONGE+STATION,1482
129+Peter+St+Toronto,BLOOR-YONGE+STATION,2434
674+Dundas+St.+W+Toronto,BLOOR-YONGE+STATION,2446
616+Vaughan+Road+Toronto+Toronto,BLOOR-YONGE+STATION,4116
20+Gerrard+Street+East+Toronto,BLOOR-YONGE+STATION,1028
2714+Danforth+Avenue+Toronto,BLOOR-YONGE+STATION,5407
349+George+Street+Toronto,BLOOR-YONGE+STATION,1430
60+Brant+Street+Toronto,BLOOR-YONGE+STATION,2795
360+Lesmill+Road+North+York,BLOOR-YONGE+STATION,9677
25+Canterbury+Place+North+York,BLOOR-YONGE+STATION,8721
"490+Sherbourne+Street,+2nd+floor+Toronto",BLOOR-YONGE+STATION,901
512+Jarvis+St.+Toronto,BLOOR-YONGE+STATION,602
86+Lombard+St.+Toronto,BLOOR-YONGE+STATION,1968
1161+Caledonia+Road+Toronto,BLOOR-YONGE+STATION,7316
412+Queen+Street+East+Toronto,BLOOR-YONGE+STATION,2484
702+Kennedy+Rd+Toronto,BLOOR-YONGE+STATION,9766
1322+Bloor+Street+West+Toronto,BLOOR-YONGE+STATION,3667
3576+St.+Clair+Avenue+East+Scarborough,BLOOR-YONGE+STATION,9053
805A+Wellington+Street+W+Toronto,BLOOR-YONGE+STATION,3838
422+Gilbert+Avenue+Toronto,BLOOR-YONGE+STATION,6023
1076+Pape+Avenue+Toronto,BLOOR-YONGE+STATION,3150
14+Vaughan+Road+Toronto,BLOOR-YONGE+STATION,2482
558+Bathurst+Street+Toronto,BLOOR-YONGE+STATION,2071
126+Pape+Avenue+Toronto,BLOOR-YONGE+STATION,3854
60+Newcastle+Street+Toronto,BLOOR-YONGE+STATION,9542
70+Gerrard+St.+E.+Toronto,BLOOR-YONGE+STATION,1143
3410+Bayview+Avenue+Toronto,BLOOR-YONGE+STATION,11531
525+Bloor+Street+East+Toronto,BLOOR-YONGE+STATION,695
87+Pembroke+St+Toronto,BLOOR-YONGE+STATION,1586
101+Ontario+Street+Toronto,BLOOR-YONGE+STATION,2280
2808+Dundas+St+W+Toronto,BLOOR-YONGE+STATION,5060
723+Queen+Street+West+Toronto,BLOOR-YONGE+STATION,3062
107+Jarvis+Street+Toronto,BLOOR-YONGE+STATION,2040
Sherbourne+Street+Toronto,BLOOR-YONGE+STATION,1450
29+Leslie+Street+Toronto,BLOOR-YONGE+STATION,4518
2671+Islington+Avenue+Toronto,BLOOR-YONGE+STATION,14181
502+Spadina+Ave.+Toronto,BLOOR-YONGE+STATION,1766
191+Spadina+Road+Toronto,BLOOR-YONGE+STATION,1578
95+Wellesley+St.+E.+Toronto,BLOOR-YONGE+STATION,684
23+Grange+Road+Toronto,BLOOR-YONGE+STATION,2015
